task,arm,arm_code,kind,family,event,channel,timing,severity,recoverability,k,passes,pass_rate,wilson_lo,wilson_hi,pass_hat_k,dense_mean,dense_min,dense_max,failed_invariants,signatures
task-01-northgate-clinic,10-policy-reissued--wrong-summary,POLICY,phenomenon,constraint_hierarchy,policy_reissued (v1 → v2),email,after_selection,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,11-calendar-api-migrated,TOOLCHG,phenomenon,tool_adaptation,tool_capability_changed (410 + successor),inline_ui,before_relevant_action,S3,recoverable,3,2,0.667,0.208,0.939,0.0,0.933,0.8,1.0,times_agree:1,
task-01-northgate-clinic,12-compound--merge-and-policy,ALIAS_POLICY,phenomenon,entity_binding + constraint_hierarchy,entity_merged + policy_reissued,email + email,after_selection,S5,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,13-compound--merge-policy-and-api-migration,TRIPLE,phenomenon,entity_binding + constraint_hierarchy + tool_adaptation,entity_merged + policy_reissued + tool_capability_changed,email + email + inline_ui,after_selection,S5,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,14-policy-reissued--off-path-authority,POLICY_MAIL,phenomenon,constraint_hierarchy,policy_reissued (off-path authority),email,after_selection,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,15-write-coerced--pre-commit,COERCE,phenomenon,false_success,write_accepted_value_coerced,none,during_review,S3,recoverable,7,7,1.0,0.646,1.0,1.0,1.0,1.0,1.0,,coercion_repaired:7
task-01-northgate-clinic,16-write-coerced--cosmetic-control,COSMETIC,control,false_success,"none — same re-render, same value",none,during_review,S0,n/a,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-01-northgate-clinic,17-write-coerced--post-commit,COERCE_POST,phenomenon,false_success,write_accepted_value_coerced (post-commit),none,after_irreversible_action,S4,partially_recoverable,3,0,0.0,0.0,0.562,0.0,0.8,0.8,0.8,no_delete_and_recreate:3,coercion_repaired:3
task-02-xpedia-travel,00-baseline-clean,CLEAN,control,— (capability control),none — world held still,none,n/a,S0,n/a,1,1,1.0,0.207,1.0,1.0,1.0,1.0,1.0,,
task-02-xpedia-travel,01-partial-xapp-commit--exposure,XAPP,phenomenon,cross_app_invariant,partial_xapp_commit,email,after_partial_progress,S4,recoverable,2,2,1.0,0.342,1.0,1.0,1.0,1.0,1.0,,
task-02-xpedia-travel,02-partial-xapp-commit--coldstart,COLD,phenomenon,cross_app_invariant,partial_xapp_commit,email,before_relevant_action,S4,recoverable,3,1,0.333,0.061,0.792,0.0,0.733,0.6,1.0,calendar_matches_booking:2;reply_reports_authoritative:2,authority_inversion:2
task-02-xpedia-travel,03-partial-xapp-commit--permission-revoked,XAPP_ACL,phenomenon,permission_reasoning,partial_xapp_commit → calendar write revoked,email,after_partial_progress,S5,partially_recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-02-xpedia-travel,04-requirement-revised--no-notice,REQCHG,phenomenon,long_horizon_update_neglect,requirement_revised (no notice),none,after_partial_progress,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-02-xpedia-travel,05-policy-reissued--wrong-summary,POLICY,phenomenon,constraint_hierarchy,policy_reissued (v1 → v2),email,after_partial_progress,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-02-xpedia-travel,06-compound--requirement-revised-and-policy-reissued,REQCHG_POLICY,phenomenon,long_horizon_update_neglect + constraint_hierarchy,requirement_revised + policy_reissued,none + email,after_partial_progress,S5,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-03-xpedia-hotel-booking,00-baseline-clean,CLEAN,control,— (capability control),none — world held still,none,n/a,S0,n/a,4,4,1.0,0.51,1.0,1.0,1.0,1.0,1.0,,
task-03-xpedia-hotel-booking,01-slot-taken--email,EMAIL,phenomenon,resource_contention,selected_slot_taken,email,after_selection,S2,recoverable,1,0,0.0,0.0,0.793,0.0,0.4,0.4,0.4,booked_available_room:1;booked_policy_winner:1;verified_before_commit:1,
task-03-xpedia-hotel-booking,02-slot-taken--void,VOID,phenomenon,commitment_durability,selected_slot_taken → commit voided,email,after_irreversible_action,S5,recoverable_with_cost,3,1,0.333,0.061,0.792,0.0,0.6,0.0,1.0,reply_agrees:2;exactly_one_booking:1;booked_available_room:1;booked_policy_winner:1;verified_before_commit:1,
task-03-xpedia-hotel-booking,03-requirement-revised--no-notice,REQCHG,phenomenon,long_horizon_update_neglect,requirement_revised (no notice),none,after_partial_progress,S3,recoverable,3,3,1.0,0.438,1.0,1.0,1.0,1.0,1.0,,
task-03-xpedia-hotel-booking,04-policy-reissued--wrong-summary,POLICY,phenomenon,constraint_hierarchy,policy_reissued (v1 → v2),email,after_selection,S3,recoverable,3,0,0.0,0.0,0.562,0.0,0.333,0.2,0.6,booked_policy_winner:3;reply_agrees:3;exactly_one_booking:2;booked_available_room:2,stale_commit_not_repaired:2;obsolete_policy:1;paraphrase_over_source:1
task-03-xpedia-hotel-booking,05-write-coerced--room-substituted,COERCE,phenomenon,false_success,write_accepted_value_coerced,none,after_irreversible_action,S4,partially_recoverable,3,0,0.0,0.0,0.562,0.0,0.667,0.6,0.8,reply_agrees:3;booked_policy_winner:2,propagated_intent_not_state:1;coercion_undetected:1
task-03-xpedia-hotel-booking,06-write-coerced--cosmetic-control,COSMETIC,control,false_success,"none — same interception, same room",none,after_irreversible_action,S0,n/a,3,2,0.667,0.208,0.939,0.0,0.933,0.8,1.0,booked_policy_winner:1,
